               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.020938,            0.019722,            0.019695,             0.81561,             0.82959,             0.88945,             0.73917,            0.012452,           0.0090111,           0.0096616,           0.0096943,           0.0096943,           0.0096943
                 120,            0.021291,            0.019646,            0.021406,              0.8654,             0.79088,             0.89485,             0.74536,            0.012193,           0.0088996,           0.0091798,           0.0096892,           0.0096892,           0.0096892
                 121,            0.021762,            0.019856,            0.018817,             0.85775,             0.80194,             0.89719,              0.7485,            0.012231,           0.0087723,           0.0093541,            0.009684,            0.009684,            0.009684
                 122,            0.020866,            0.019614,            0.018891,             0.85493,             0.80341,             0.89333,             0.74529,            0.012112,           0.0088738,           0.0097282,           0.0096788,           0.0096788,           0.0096788
                 123,            0.020622,            0.019105,            0.018435,             0.82752,             0.81675,              0.8962,             0.74792,            0.012376,           0.0089032,           0.0098996,           0.0096735,           0.0096735,           0.0096735
                 124,            0.021463,            0.019633,             0.01864,             0.85069,             0.80521,             0.89151,             0.74352,            0.012464,           0.0088589,            0.010696,           0.0096682,           0.0096682,           0.0096682
                 125,            0.021253,            0.019254,            0.017993,             0.85575,             0.82277,             0.89601,             0.75196,            0.012175,           0.0088323,           0.0097173,           0.0096628,           0.0096628,           0.0096628
                 126,            0.021378,            0.019916,            0.015808,             0.86847,             0.81404,             0.90208,             0.75918,            0.011965,           0.0087877,           0.0082273,           0.0096575,           0.0096575,           0.0096575
                 127,            0.021288,            0.019557,              0.0175,             0.88174,             0.79629,             0.90261,             0.75826,            0.011913,           0.0088237,           0.0090666,            0.009652,            0.009652,            0.009652
                 128,            0.020929,             0.01943,            0.016098,             0.86411,             0.82438,             0.90388,             0.75898,            0.012126,           0.0087788,           0.0083091,           0.0096466,           0.0096466,           0.0096466
                 129,            0.021716,            0.018913,            0.017348,             0.84639,             0.84422,              0.9047,             0.75907,            0.012303,           0.0087253,            0.008294,            0.009641,            0.009641,            0.009641
                 130,            0.021759,            0.019303,            0.015427,             0.87266,             0.82099,             0.90408,             0.75738,            0.012325,           0.0088219,           0.0081221,           0.0096355,           0.0096355,           0.0096355
                 131,            0.020566,            0.019048,            0.015106,             0.87522,             0.81682,              0.9086,             0.76138,            0.012324,           0.0087315,           0.0089016,           0.0096299,           0.0096299,           0.0096299
                 132,             0.02087,            0.018781,            0.014798,             0.85006,             0.83568,             0.90838,             0.76225,            0.012344,           0.0086133,           0.0096998,           0.0096243,           0.0096243,           0.0096243
                 133,            0.021471,            0.019156,            0.018077,             0.84674,             0.82877,             0.90294,             0.75904,            0.012212,           0.0086366,            0.010169,           0.0096186,           0.0096186,           0.0096186
                 134,            0.020887,            0.019469,             0.01767,             0.84977,             0.82677,             0.90304,             0.75638,            0.012141,           0.0087345,           0.0089882,           0.0096129,           0.0096129,           0.0096129
                 135,            0.021304,             0.01891,            0.017115,              0.8699,             0.80825,             0.90224,              0.7593,            0.012075,           0.0087584,           0.0086824,           0.0096071,           0.0096071,           0.0096071
                 136,            0.020675,            0.019454,            0.017182,             0.84711,             0.83673,              0.9043,             0.76477,            0.011904,           0.0086903,           0.0089671,           0.0096013,           0.0096013,           0.0096013
                 137,            0.021296,             0.01885,            0.014578,               0.856,             0.82999,              0.9046,              0.7658,            0.012038,           0.0086211,           0.0098709,           0.0095955,           0.0095955,           0.0095955
                 138,            0.020934,            0.019271,             0.01982,             0.86183,             0.82987,             0.90754,             0.76395,            0.012161,           0.0086655,           0.0093982,           0.0095896,           0.0095896,           0.0095896
                 139,            0.021946,             0.01961,            0.019576,             0.86038,             0.82603,             0.90598,             0.76012,            0.012332,           0.0086981,            0.009186,           0.0095837,           0.0095837,           0.0095837
                 140,            0.020957,            0.019616,            0.017727,             0.87201,             0.81868,             0.90581,             0.76136,            0.012268,           0.0087631,           0.0088886,           0.0095777,           0.0095777,           0.0095777
                 141,            0.020427,            0.019175,            0.016885,             0.85084,             0.84152,             0.90477,             0.75913,            0.012402,           0.0087736,           0.0093781,           0.0095717,           0.0095717,           0.0095717
                 142,            0.021168,             0.01893,            0.017197,             0.86172,             0.83706,             0.90799,             0.76436,            0.012377,           0.0087368,           0.0097508,           0.0095657,           0.0095657,           0.0095657
                 143,            0.021113,            0.018656,             0.01551,             0.84921,             0.84278,             0.90651,             0.76448,            0.012347,           0.0087494,           0.0090131,           0.0095596,           0.0095596,           0.0095596
                 144,            0.020636,            0.019182,            0.016938,             0.85035,             0.83351,             0.90454,             0.75907,            0.012362,           0.0088233,           0.0092106,           0.0095535,           0.0095535,           0.0095535
                 145,            0.020446,            0.018939,            0.017496,             0.85491,              0.8394,             0.90383,             0.75982,            0.012319,           0.0088229,           0.0096039,           0.0095473,           0.0095473,           0.0095473
                 146,            0.020823,            0.018737,             0.01605,             0.85356,             0.84194,             0.90501,             0.76143,            0.012259,           0.0087389,           0.0091737,           0.0095411,           0.0095411,           0.0095411
                 147,             0.02102,             0.01886,            0.015091,             0.84233,             0.85819,             0.90682,             0.76213,            0.012264,           0.0087163,           0.0093648,           0.0095349,           0.0095349,           0.0095349
                 148,            0.020967,             0.01909,            0.017023,             0.83521,             0.85412,             0.90702,             0.76416,            0.012192,           0.0086695,           0.0091407,           0.0095286,           0.0095286,           0.0095286
                 149,            0.020747,            0.019591,            0.017865,             0.87031,             0.81877,             0.90928,             0.76512,            0.012043,            0.008613,            0.010063,           0.0095223,           0.0095223,           0.0095223
                 150,            0.020881,            0.018874,            0.016674,             0.86124,             0.83446,             0.91039,             0.76738,            0.012061,           0.0086218,            0.010166,           0.0095159,           0.0095159,           0.0095159
                 151,            0.021185,            0.019347,            0.015722,              0.8596,             0.83816,             0.91039,             0.77045,            0.011941,           0.0085972,            0.010763,           0.0095095,           0.0095095,           0.0095095
                 152,            0.020606,            0.018756,            0.014457,             0.85071,             0.85509,             0.91014,             0.76977,            0.011968,           0.0085933,           0.0089513,           0.0095031,           0.0095031,           0.0095031
                 153,             0.02089,            0.018627,            0.015194,             0.86176,             0.84665,             0.91093,             0.77234,            0.011991,           0.0086766,           0.0095413,           0.0094966,           0.0094966,           0.0094966
                 154,            0.021244,            0.018705,            0.015897,             0.86981,             0.84075,             0.91049,             0.77129,            0.012023,           0.0086227,           0.0093463,           0.0094901,           0.0094901,           0.0094901
                 155,            0.020878,            0.018817,            0.016228,             0.86806,             0.83936,             0.90857,             0.76758,            0.012113,           0.0086651,           0.0091568,           0.0094835,           0.0094835,           0.0094835
                 156,            0.020911,            0.018979,            0.015802,             0.85273,             0.85135,             0.90611,             0.76853,            0.012118,           0.0086453,           0.0086282,           0.0094769,           0.0094769,           0.0094769
